number,val_loss,train_loss,alpha,dropout,layer_size,lr,num_layers,optimizer,duration_sec,mae,r2,seed,duration
47,1.608675432862583e-07,5.530272417786364e-08,0.0,0.0,813,0.0008538493939653694,8,AdamW,1.4118545055389404,0.00031512408168055117,0.8939240574836731,15557,0 days 00:00:01.414379
135,1.6100041477784544e-07,3.026698180974563e-08,0.0,0.0,508,0.0007965427365916614,7,AdamW,0.7025425434112549,0.00031028257217258215,0.893836498260498,15557,0 days 00:00:00.702843
121,1.6678728798069642e-07,4.094782823926835e-08,0.0,0.0,800,0.0007847148138129694,10,AdamW,1.6682252883911133,0.0003256518975831568,0.8900206089019775,15557,0 days 00:00:01.669864
100,1.6968088800695114e-07,2.4960826294773142e-08,0.0,0.0,826,0.0008377348524554809,8,AdamW,1.6971688270568848,0.00033552636159583926,0.8881125450134277,15557,0 days 00:00:01.698715
60,1.7190018297696952e-07,8.263490336446466e-09,0.0,0.0,753,0.0007921429820559696,9,AdamW,1.8938822746276855,0.0003490953240543604,0.8866491913795471,15557,0 days 00:00:01.894534
22,1.7249371353500464e-07,3.2544373862464226e-09,0.0,0.0,570,3.7908856576374816e-05,11,AdamW,3.100383996963501,0.0003466982743702829,0.8862577676773071,15557,0 days 00:00:03.100902
142,1.7454554779305909e-07,3.9440589461037234e-08,0.0,0.0,859,0.0004918397888545101,8,AdamW,1.3023085594177246,0.00029603744042105973,0.8849048018455505,15557,0 days 00:00:01.303903
59,1.7483729664036218e-07,6.278626507594254e-09,0.0,0.0,810,0.0005474845772038312,7,AdamW,1.5482282638549805,0.0003629260463640094,0.8847124576568604,15557,0 days 00:00:01.549440
136,1.7696990539661783e-07,4.836806510866154e-09,0.0,0.0,382,0.000775582327743741,7,AdamW,0.6165823936462402,0.00033599583548493683,0.8833062052726746,15557,0 days 00:00:00.617204
45,1.7749404435107863e-07,4.264169461976053e-08,0.0,0.0,842,0.0007142863367433165,8,AdamW,1.5117151737213135,0.0003210963914170861,0.8829605579376221,15557,0 days 00:00:01.513355
83,1.8016140757026733e-07,2.1200259325837578e-08,0.0,0.0,784,0.00039084465475273635,8,AdamW,1.3692905902862549,0.0003029408399015665,0.8812017440795898,15557,0 days 00:00:01.370925
106,1.839850938267773e-07,3.7715000567040136e-10,0.0,0.0,743,0.0006256609534020331,6,AdamW,1.7935984134674072,0.0003525703214108944,0.878680408000946,15557,0 days 00:00:01.795312
86,1.888579248543465e-07,8.022250419514876e-09,0.0,0.0,989,0.0008596757713193403,10,AdamW,2.8233280181884766,0.0003339168324600905,0.8754672408103943,15557,0 days 00:00:02.825134
77,1.9098612824564043e-07,9.46497547005265e-10,0.0,0.0,565,0.0007520400531876942,12,AdamW,2.3281726837158203,0.00035060205846093595,0.8740639090538025,15557,0 days 00:00:02.330126
81,1.9180139076979685e-07,2.641325558272456e-08,0.0,0.0,848,0.0007044838715782021,8,AdamW,1.5964133739471436,0.00035273240064270794,0.8735263347625732,15557,0 days 00:00:01.597159
